var_1,var_2,var_3,var_4,var_5,var_6,var_7,salida
15.26,14.84,0.871,5.763,3.312,2.221,5.22,1
14.88,14.57,0.8811,5.554,3.333,1.018,4.956,1
14.29,14.09,0.905,5.291,3.337,2.699,4.825,1
13.84,13.94,0.8955,5.324,3.379,2.259,4.805,1
16.14,14.99,0.9034,5.658,3.562,1.355,5.175,1
14.38,14.21,0.8951,5.386,3.312,2.462,4.956,1
14.69,14.49,0.8799,5.563,3.259,3.586,5.219,1
14.11,14.1,0.8911,5.42,3.302,2.70,5.00,1
17.63,15.98,0.8673,6.191,3.561,4.076,6.06,2
16.84,15.67,0.8623,5.998,3.484,4.675,5.877,2
17.26,15.73,0.8763,5.978,3.594,4.539,5.791,2
19.11,16.26,0.9081,6.154,3.93,2.936,6.079,2
16.82,15.51,0.8786,6.017,3.486,4.004,5.841,2
16.77,15.62,0.8638,5.927,3.438,4.92,5.795,2
17.32,15.91,0.8599,6.064,3.403,3.824,5.922,2
20.71,17.23,0.8763,6.579,3.814,4.451,6.451,2
18.94,16.49,0.875,6.445,3.639,5.064,6.362,2
13.07,13.92,0.848,5.472,2.994,5.304,5.395,3
13.32,13.94,0.8613,5.541,3.073,7.035,5.44,3
13.34,13.95,0.862,5.389,3.074,5.995,5.307,3
12.22,13.32,0.8652,5.224,2.967,5.469,5.221,3
11.82,13.4,0.8274,5.314,2.777,4.471,5.178,3
11.21,13.13,0.8167,5.279,2.687,6.169,5.275,3
11.43,13.13,0.8335,5.176,2.719,2.221,5.132,3
12.49,13.46,0.8658,5.267,2.967,4.421,5.002,3
12.7,13.71,0.8491,5.386,2.911,3.26,5.316,3
